date,city_id,avg_temp_c
2014-01-01,C001,6.6
2014-01-02,C001,9.3
2014-01-03,C001,7.6
2014-01-04,C001,7.6
2014-01-05,C001,8.6
2014-01-06,C001,9.1
2014-01-07,C001,8.8
2014-01-08,C001,8.8
2014-01-09,C001,9.9
2014-01-10,C001,10.8
2014-01-11,C001,10.2
2014-01-12,C001,9.4
2014-01-13,C001,8.2
2014-01-14,C001,7.4
2014-01-15,C001,8.7
2014-01-16,C001,10.8
2014-01-17,C001,12.0
2014-01-18,C001,6.1
2014-01-19,C001,7.4
2014-01-20,C001,9.1
2014-01-21,C001,7.7
2014-01-22,C001,5.8
2014-01-23,C001,2.8
2014-01-24,C001,3.8
2014-01-25,C001,3.2
2014-01-26,C001,4.2
2014-01-27,C001,5.1
2014-01-28,C001,5.3
2014-01-29,C001,6.0
2014-01-30,C001,6.8
2014-01-31,C001,7.2
2014-02-01,C001,10.2
2014-02-02,C001,12.7
2014-02-03,C001,14.3
2014-02-04,C001,10.1
2014-02-05,C001,7.3
2014-02-06,C001,7.3
2014-02-07,C001,11.7
2014-02-08,C001,10.7
2014-02-09,C001,9.7
2014-02-10,C001,8.5
2014-02-11,C001,7.3
2014-02-12,C001,7.1
2014-02-13,C001,7.7
2014-02-14,C001,5.7
2014-02-15,C001,5.9
2014-02-16,C001,5.7
2014-02-17,C001,8.0
2014-02-18,C001,9.8
2014-02-19,C001,8.9
2014-02-20,C001,9.2
2014-02-21,C001,9.4
2014-02-22,C001,11.7
2014-02-23,C001,12.3
2014-02-24,C001,12.0
2014-02-25,C001,6.2
2014-02-26,C001,4.7
2014-02-27,C001,3.1
2014-02-28,C001,1.6
2014-03-01,C001,3.6
2014-03-02,C001,12.8
2014-03-03,C001,12.9
2014-03-04,C001,13.5
2014-03-05,C001,13.6
2014-03-06,C001,13.8
2014-03-07,C001,13.7
2014-03-08,C001,11.2
2014-03-09,C001,10.3
2014-03-10,C001,10.5
2014-03-11,C001,13.3
2014-03-12,C001,14.4
2014-03-13,C001,13.5
2014-03-14,C001,11.4
2014-03-15,C001,12.3
2014-03-16,C001,12.8
2014-03-17,C001,17.6
2014-03-18,C001,14.0
2014-03-19,C001,10.8
2014-03-20,C001,11.9
2014-03-21,C001,12.9
2014-03-22,C001,11.6
2014-03-23,C001,7.6
2014-03-24,C001,8.1
2014-03-25,C001,9.2
2014-03-26,C001,11.1
2014-03-27,C001,11.1
2014-03-28,C001,9.7
2014-03-29,C001,11.1
2014-03-30,C001,13.2
2014-03-31,C001,19.6
2014-04-01,C001,12.7
2014-04-02,C001,12.6
2014-04-03,C001,12.4
2014-04-04,C001,14.0
2014-04-05,C001,15.6
2014-04-06,C001,14.8
2014-04-07,C001,15.4
2014-04-08,C001,16.6
2014-04-09,C001,15.8
2014-04-10,C001,15.1
2014-04-11,C001,13.4
2014-04-12,C001,16.9
2014-04-13,C001,16.9
2014-04-14,C001,17.7
2014-04-15,C001,23.2
2014-04-16,C001,18.2
2014-04-17,C001,16.7
2014-04-18,C001,18.3
2014-04-19,C001,19.1
2014-04-20,C001,18.4
2014-04-21,C001,17.0
2014-04-22,C001,16.9
2014-04-23,C001,17.1
2014-04-24,C001,17.6
2014-04-25,C001,17.9
2014-04-26,C001,19.4
