date,city_id,avg_temp_c
2014-01-01,C001,2.7
2014-01-02,C001,2.7
2014-01-03,C001,-1.7
2014-01-04,C001,0.0
2014-01-05,C001,1.0
2014-01-06,C001,0.5
2014-01-07,C001,-0.3
2014-01-08,C001,0.0
2014-01-09,C001,1.1
2014-01-10,C001,0.9
2014-01-11,C001,-0.6
2014-01-12,C001,-0.8
2014-01-13,C001,-1.2
2014-01-14,C001,-0.8
2014-01-15,C001,1.3
2014-01-16,C001,2.1
2014-01-17,C001,1.2
2014-01-18,C001,-5.9
2014-01-19,C001,1.3
2014-01-20,C001,1.7
2014-01-21,C001,-1.4
2014-01-22,C001,-1.9
2014-01-23,C001,-3.0
2014-01-24,C001,1.0
2014-01-25,C001,-0.6
2014-01-26,C001,1.0
2014-01-27,C001,0.9
2014-01-28,C001,0.2
2014-01-29,C001,0.7
2014-01-30,C001,0.8
2014-01-31,C001,0.4
2014-02-01,C001,3.0
2014-02-02,C001,2.5
2014-02-03,C001,1.6
2014-02-04,C001,-4.2
2014-02-05,C001,-2.8
2014-02-06,C001,0.0
2014-02-07,C001,4.4
2014-02-08,C001,-1.0
2014-02-09,C001,-1.0
2014-02-10,C001,-1.2
2014-02-11,C001,-1.2
2014-02-12,C001,-0.2
2014-02-13,C001,0.6
2014-02-14,C001,-2.0
2014-02-15,C001,0.2
2014-02-16,C001,-0.2
2014-02-17,C001,2.3
2014-02-18,C001,1.8
2014-02-19,C001,-0.9
2014-02-20,C001,0.3
2014-02-21,C001,0.2
2014-02-22,C001,2.3
2014-02-23,C001,0.6
2014-02-24,C001,-0.3
2014-02-25,C001,-5.8
2014-02-26,C001,-1.5
2014-02-27,C001,-1.6
2014-02-28,C001,-1.5
2014-03-01,C001,2.0
2014-03-02,C001,9.2
2014-03-03,C001,0.1
2014-03-04,C001,0.6
2014-03-05,C001,0.1
2014-03-06,C001,0.2
2014-03-07,C001,-0.1
2014-03-08,C001,-2.5
2014-03-09,C001,-0.9
2014-03-10,C001,0.2
2014-03-11,C001,2.8
2014-03-12,C001,1.1
2014-03-13,C001,-0.9
2014-03-14,C001,-2.1
2014-03-15,C001,0.9
2014-03-16,C001,0.5
2014-03-17,C001,4.8
2014-03-18,C001,-3.6
2014-03-19,C001,-3.2
2014-03-20,C001,1.1
2014-03-21,C001,1.0
2014-03-22,C001,-1.3
2014-03-23,C001,-4.0
2014-03-24,C001,0.5
2014-03-25,C001,1.1
2014-03-26,C001,1.9
2014-03-27,C001,0.0
2014-03-28,C001,-1.4
2014-03-29,C001,1.4
2014-03-30,C001,2.1
2014-03-31,C001,6.4
2014-04-01,C001,-6.9
2014-04-02,C001,-0.1
2014-04-03,C001,-0.2
2014-04-04,C001,1.6
2014-04-05,C001,1.6
2014-04-06,C001,-0.8
2014-04-07,C001,0.6
2014-04-08,C001,1.2
2014-04-09,C001,-0.8
2014-04-10,C001,-0.7
2014-04-11,C001,-1.7
2014-04-12,C001,3.5
2014-04-13,C001,0.0
2014-04-14,C001,0.8
2014-04-15,C001,5.5
2014-04-16,C001,-5.0
2014-04-17,C001,-1.5
2014-04-18,C001,1.6
2014-04-19,C001,0.8
2014-04-20,C001,-0.7
2014-04-21,C001,-1.4
2014-04-22,C001,-0.1
2014-04-23,C001,0.2
2014-04-24,C001,0.5
2014-04-25,C001,0.3
2014-04-26,C001,1.5
2014-04-27,C001,1.3
2014-04-28,C001,1.8
2014-04-29,C001,-0.8
2014-04-30,C001,-1.0
2014-05-01,C001,0.3
2014-05-02,C001,0.4
2014-05-03,C001,-0.6
2014-05-04,C001,-2.1
2014-05-05,C001,-0.9
2014-05-06,C001,0.4
2014-05-07,C001,3.0
2014-05-08,C001,-2.4
2014-05-09,C001,-0.7
2014-05-10,C001,0.2
2014-05-11,C001,1.9
2014-05-12,C001,0.3
2014-05-13,C001,-0.6
2014-05-14,C001,1.1
2014-05-15,C001,-2.8
2014-05-16,C001,-1.1
2014-05-17,C001,0.6
2014-05-18,C001,-0.3
2014-05-19,C001,2.6
2014-05-20,C001,2.3
2014-05-21,C001,0.3
2014-05-22,C001,0.1
2014-05-23,C001,-2.3
2014-05-24,C001,-0.7
2014-05-25,C001,2.1
2014-05-26,C001,1.6
2014-05-27,C001,1.1
2014-05-28,C001,-0.5
2014-05-29,C001,0.3
2014-05-30,C001,0.3
2014-05-31,C001,-0.3
2014-06-01,C001,0.2
2014-06-02,C001,0.4
2014-06-03,C001,-0.7
2014-06-04,C001,-0.4
2014-06-05,C001,0.9
2014-06-06,C001,-1.0
2014-06-07,C001,0.7
2014-06-08,C001,3.0
2014-06-09,C001,-3.7
2014-06-10,C001,-1.1
2014-06-11,C001,2.1
2014-06-12,C001,1.5
2014-06-13,C001,-2.3
2014-06-14,C001,-2.1
2014-06-15,C001,-1.4
2014-06-16,C001,1.9
2014-06-17,C001,0.0
2014-06-18,C001,0.6
2014-06-19,C001,0.0
2014-06-20,C001,1.9
2014-06-21,C001,0.3
2014-06-22,C001,-0.7
2014-06-23,C001,-3.0
2014-06-24,C001,-0.5
2014-06-25,C001,-1.0
2014-06-26,C001,1.4
2014-06-27,C001,-1.6
2014-06-28,C001,0.1
2014-06-29,C001,0.5
2014-06-30,C001,1.8
2014-07-01,C001,1.6
2014-07-02,C001,1.4
2014-07-03,C001,-0.2
2014-07-04,C001,-0.1
2014-07-05,C001,0.6
2014-07-06,C001,0.9
2014-07-07,C001,-2.0
2014-07-08,C001,0.0
2014-07-09,C001,-0.5
2014-07-10,C001,-0.5
2014-07-11,C001,0.1
2014-07-12,C001,1.1
2014-07-13,C001,-0.1
2014-07-14,C001,0.6
2014-07-15,C001,0.7
2014-07-16,C001,0.7
2014-07-17,C001,-1.7
2014-07-18,C001,-0.3
2014-07-19,C001,0.3
2014-07-20,C001,0.4
2014-07-21,C001,0.5
2014-07-22,C001,1.4
2014-07-23,C001,-4.2
2014-07-24,C001,0.6
2014-07-25,C001,1.7
2014-07-26,C001,0.2
2014-07-27,C001,0.3
2014-07-28,C001,-0.9
2014-07-29,C001,0.8
2014-07-30,C001,0.8
2014-07-31,C001,0.7
2014-08-01,C001,0.3
2014-08-02,C001,0.0
2014-08-03,C001,-2.0
2014-08-04,C001,1.2
2014-08-05,C001,0.5
2014-08-06,C001,-0.4
2014-08-07,C001,0.2
2014-08-08,C001,0.8
2014-08-09,C001,-0.2
2014-08-10,C001,0.2
2014-08-11,C001,0.5
2014-08-12,C001,-1.0
2014-08-13,C001,-0.5
2014-08-14,C001,0.0
2014-08-15,C001,-1.9
2014-08-16,C001,-1.1
2014-08-17,C001,1.8
2014-08-18,C001,0.4
2014-08-19,C001,-0.5
2014-08-20,C001,-0.6
2014-08-21,C001,1.2
2014-08-22,C001,-0.5
2014-08-23,C001,0.4
2014-08-24,C001,0.3
2014-08-25,C001,0.1
2014-08-26,C001,-1.2
2014-08-27,C001,-3.4
2014-08-28,C001,2.8
2014-08-29,C001,0.7
2014-08-30,C001,0.5
2014-08-31,C001,-0.4
2014-09-01,C001,0.0
2014-09-02,C001,0.4
2014-09-03,C001,-2.8
2014-09-04,C001,-0.5
2014-09-05,C001,0.4
2014-09-06,C001,0.2
2014-09-07,C001,0.4
2014-09-08,C001,-0.1
2014-09-09,C001,0.1
2014-09-10,C001,-0.2
2014-09-11,C001,0.2
2014-09-12,C001,-0.1
2014-09-13,C001,-0.9
2014-09-14,C001,0.0
2014-09-15,C001,-0.1
2014-09-16,C001,2.0
2014-09-17,C001,-0.8
2014-09-18,C001,1.0
2014-09-19,C001,-1.7
2014-09-20,C001,0.6
2014-09-21,C001,-0.7
2014-09-22,C001,-0.7
2014-09-23,C001,-0.3
2014-09-24,C001,0.0
2014-09-25,C001,-2.3
2014-09-26,C001,-1.8
2014-09-27,C001,-1.9
2014-09-28,C001,2.3
2014-09-29,C001,2.6
2014-09-30,C001,-2.6
2014-10-01,C001,-0.4
2014-10-02,C001,0.5
2014-10-03,C001,1.1
2014-10-04,C001,1.8
2014-10-05,C001,-1.6
2014-10-06,C001,1.7
2014-10-07,C001,-1.2
2014-10-08,C001,-0.3
2014-10-09,C001,0.3
2014-10-10,C001,-1.6
2014-10-11,C001,-1.4
2014-10-12,C001,0.5
2014-10-13,C001,1.2
2014-10-14,C001,-1.6
2014-10-15,C001,0.7
2014-10-16,C001,0.3
2014-10-17,C001,-0.5
